principal component 1,principal component 2,Species,Strain,Samples 
-2.658457744417031,-4.274853042927588,SA,4,SA.A_BHI_A
-2.776900886434388,-3.1781344818703228,SA,4,SA.A_BHI_B
-2.718667883259771,-3.538334263148265,SA,4,SA.A_BHI_C
-2.560810868491926,-3.954917890793444,SA,4,SA.A_BHI_D
-2.869970956244342,-3.102306018843072,SA,4,SA.A_BHI_E
-2.804966869709339,-4.192989678649878,SA,5,SA.B_BHI_A
-2.932095932812139,-3.898281828085602,SA,5,SA.B_BHI_B
-2.8618085674405127,-2.5127930900005206,SA,5,SA.B_BHI_C
-2.5405783571967087,-3.3007688067341507,SA,5,SA.B_BHI_D
-2.6957686853114473,-3.3334782589351946,SA,5,SA.B_BHI_E
-3.4553558312128465,0.9310111141202747,PA,2,PA.A_BHI_A
-2.9505190226243836,1.8713744173861329,PA,2,PA.A_BHI_B
-2.1721186865522055,3.5162121534632234,PA,2,PA.A_BHI_C
-2.8784695769418223,3.25421561504647,PA,2,PA.A_BHI_D
-3.2251059826251525,4.468447632350055,PA,2,PA.A_BHI_E
-3.365530951152854,1.848251829346516,PA,3,PA.B_BHI_A
-2.6096449780603397,4.636219511795725,PA,3,PA.B_BHI_B
-1.999050508305273,4.474035548458347,PA,3,PA.B_BHI_C
-3.4158329285098565,4.622505215103978,PA,3,PA.B_BHI_D
-3.21663884449146,4.943444140012716,PA,3,PA.B_BHI_E
8.72237176214446,0.8869745146073029,EC,0,EC.A_BHI_A
6.408203249434616,-0.018719621107326796,EC,0,EC.A_BHI_B
9.16214765396401,-0.29533901722929135,EC,0,EC.A_BHI_C
11.025249428084972,-0.45285743472748824,EC,0,EC.A_BHI_D
3.3311414108701087,0.3963676733883711,EC,1,EC.B_BHI_A
7.083028862593111,0.2496490183756007,EC,1,EC.B_BHI_B
10.976151694702523,-0.04493495040255697,EC,1,EC.B_BHI_C
