,mean,std,time
10,0.7611111111111111,0.7611111111111111,0.7611111111111111
50,0.8055555555555556,0.8055555555555556,0.8055555555555556
100,0.8305555555555555,0.8305555555555555,0.8305555555555555
150,0.8402777777777779,0.8402777777777779,0.8402777777777779
200,0.7847222222222222,0.7847222222222222,0.7847222222222222
250,0.8430555555555556,0.8430555555555556,0.8430555555555556
300,0.8180555555555555,0.8180555555555555,0.8180555555555555
350,0.8333333333333333,0.8333333333333333,0.8333333333333333
500,0.8305555555555555,0.8305555555555555,0.8305555555555555
750,0.8319444444444445,0.8319444444444445,0.8319444444444445
1000,0.8208333333333332,0.8208333333333332,0.8208333333333332
