principal component 1,principal component 2,Species,Strain,Samples 
-1.7644932110291862,-2.8377974715562875,SA,SA_A,SA.A_TSB_A
-1.8939368127900538,-2.0640664273786946,SA,SA_A,SA.A_TSB_B
-1.4651033730578122,-2.014836817769129,SA,SA_A,SA.A_TSB_C
-1.0563567064135786,-3.181313027947862,SA,SA_A,SA.A_TSB_D
-1.7202956514900853,-3.2270085890424034,SA,SA_A,SA.A_TSB_E
-1.7465071608976233,-2.1421564748666286,SA,SA_B,SA.B_TSB_A
-1.8126941486626018,-2.168950267889258,SA,SA_B,SA.B_TSB_B
-1.819933914109137,-2.2110681782411605,SA,SA_B,SA.B_TSB_C
-0.9242523584881635,-3.7088497733845744,SA,SA_B,SA.B_TSB_D
-0.4926576374181192,-4.2662466017838145,SA,SA_B,SA.B_TSB_E
-2.1081664761112586,-3.5692931628711615,SA,SA_A,SA.A_BHI_A
-2.1762089558678364,-2.652626992719864,SA,SA_A,SA.A_BHI_B
-2.263322641091178,-2.1473205210547497,SA,SA_A,SA.A_BHI_C
-2.0902189097227732,-2.7433386256187196,SA,SA_A,SA.A_BHI_D
-2.234175685911568,-2.666946832221187,SA,SA_A,SA.A_BHI_E
-2.3834611384956297,-2.690575225311042,SA,SA_B,SA.B_BHI_A
-2.46355669630786,-2.5267326440217617,SA,SA_B,SA.B_BHI_B
-2.198271782101378,-2.4597952511277423,SA,SA_B,SA.B_BHI_C
-2.166255919606866,-2.2690995276429997,SA,SA_B,SA.B_BHI_D
-2.2677726524710384,-2.5685278784193506,SA,SA_B,SA.B_BHI_E
-2.620380390019275,-3.139498356039622,SA,SA_A,SA.A_LB_A
-2.383703296602224,-2.528228800564299,SA,SA_A,SA.A_LB_B
-2.7327156415985767,-2.5483038829646327,SA,SA_A,SA.A_LB_C
-2.616161170387706,-2.6082337232713293,SA,SA_A,SA.A_LB_D
-2.44689141507718,-2.38781692960106,SA,SA_A,SA.A_LB_E
-2.6741485603326822,-2.0261320917928676,SA,SA_B,SA.B_LB_A
-2.2552896867329704,-1.9186772462989043,SA,SA_B,SA.B_LB_B
-2.627015847953204,-1.8651971682644124,SA,SA_B,SA.B_LB_C
-1.987176739819944,-1.8614302253548227,SA,SA_B,SA.B_LB_D
-2.423345256575676,-2.4403978213784816,SA,SA_B,SA.B_LB_E
-2.8705531627560594,1.0466258052954849,PA,PA_A,PA.A_BHI_A
-2.4389868872439555,1.4979545796776144,PA,PA_A,PA.A_BHI_B
-1.7428653419136293,3.372264156013975,PA,PA_A,PA.A_BHI_C
-2.3755134382420784,3.0216051239328703,PA,PA_A,PA.A_BHI_D
-2.6576367343673586,4.296319687820126,PA,PA_A,PA.A_BHI_E
-2.811206148409357,1.3766199438870936,PA,PA_B,PA.B_BHI_A
-1.881216371138027,3.8894925916785357,PA,PA_B,PA.B_BHI_B
-1.515057599273942,4.044582042507503,PA,PA_B,PA.B_BHI_C
-2.5656321750964364,3.362451463766158,PA,PA_B,PA.B_BHI_D
-2.6076303941083654,3.996706289718874,PA,PA_B,PA.B_BHI_E
0.16311040392689138,4.8448146266244,PA,PA_A,PA.A_LB_A
-2.2818138819688563,3.0482969117509735,PA,PA_A,PA.A_LB_B
-2.4537284734415863,0.922763046194162,PA,PA_A,PA.A_LB_C
-2.6117283047202067,1.5873357167182047,PA,PA_A,PA.A_LB_D
-2.2282920918061846,-0.9291511005342623,PA,PA_A,PA.A_LB_E
-2.7110527384697205,2.623687129289541,PA,PA_B,PA.B_LB_A
-3.2913438026624755,1.8627127910943913,PA,PA_B,PA.B_LB_B
-2.8453464587572626,2.530614329800494,PA,PA_B,PA.B_LB_C
-2.841669944051535,1.5373698380664207,PA,PA_B,PA.B_LB_D
-2.10554653138027,3.278931243045947,PA,PA_B,PA.B_LB_E
-3.425203470480538,5.710113235503009,PA,PA_A,PA.A_TSB_A
-2.490609210879608,5.485610850112093,PA,PA_A,PA.A_TSB_B
