principal component 1,principal component 2,Species,Strain,Samples 
-2.5132784886516966,-3.476899360629116,SA,4,SA.A_LB_A
-2.351968578811711,-2.6616929802992004,SA,4,SA.A_LB_B
-2.6718411907804325,-3.2422382820242226,SA,4,SA.A_LB_C
-2.5799341051061937,-3.2522539687806957,SA,4,SA.A_LB_D
-2.3230765922155086,-2.9054987883298398,SA,4,SA.A_LB_E
-2.703924127509228,-3.0676675608426796,SA,5,SA.B_LB_A
-2.3226425856802604,-2.686031950213175,SA,5,SA.B_LB_B
-2.6126866739235917,-2.922550509481571,SA,5,SA.B_LB_C
-2.1193100492990395,-2.388200945804309,SA,5,SA.B_LB_D
-2.034766716983763,-3.7550472965646087,SA,5,SA.B_LB_E
-1.3289403255676588,7.90653420655703,PA,2,PA.A_LB_A
-2.277067504603199,3.8335554614769785,PA,2,PA.A_LB_B
-2.807298185537138,1.3716703511766895,PA,2,PA.A_LB_C
-3.0689773854302014,2.082322629388129,PA,2,PA.A_LB_D
-2.400316247484054,-0.28383928586283796,PA,2,PA.A_LB_E
-3.8848090366067956,5.248248511731888,PA,3,PA.B_LB_A
-4.120899312297937,2.8515006560190534,PA,3,PA.B_LB_B
-3.661843435370284,3.82372446484633,PA,3,PA.B_LB_C
-3.4042019474700775,2.2993769926953767,PA,3,PA.B_LB_D
-3.363557636683656,6.175373783955459,PA,3,PA.B_LB_E
8.5621427249925,2.765904609680881,EC,0,EC.A_LB_A
5.716284345291171,-0.3265932315090852,EC,0,EC.A_LB_B
9.28547524371625,1.028132528936334,EC,0,EC.A_LB_C
2.8039405415668854,-3.185784301453746,EC,0,EC.A_LB_D
3.823817402763582,-3.491172772656838,EC,0,EC.A_LB_E
5.922903018251972,1.2123455513312626,EC,1,EC.B_LB_A
9.855807653457953,1.2400052295166781,EC,1,EC.B_LB_B
6.520661852136622,1.0207586656823913,EC,1,EC.B_LB_C
1.2502061267158073,-2.3856589637765695,EC,1,EC.B_LB_D
0.8101012171196772,-2.8283234447659926,EC,1,EC.B_LB_E
