,mean,std,time
10,0.7486111111111111,0.7486111111111111,0.7486111111111111
50,0.7875,0.7875,0.7875
100,0.7921296296296295,0.7921296296296295,0.7921296296296295
150,0.7875,0.7875,0.7875
200,0.7944444444444445,0.7944444444444445,0.7944444444444445
250,0.7791666666666667,0.7791666666666667,0.7791666666666667
350,0.8166666666666667,0.8166666666666667,0.8166666666666667
400,0.8143518518518519,0.8143518518518519,0.8143518518518519
450,0.811574074074074,0.811574074074074,0.811574074074074
500,0.799537037037037,0.799537037037037,0.799537037037037
