principal component 1,principal component 2,Species,Strain,Samples 
-0.6141081475585489,-4.256070781782384,SA,4,SA.A_TSB_A
-0.48146320918369223,-2.437985094247279,SA,4,SA.A_TSB_B
-0.12405583335757912,-2.805166600351759,SA,4,SA.A_TSB_C
0.5611892895683014,-3.80689278510582,SA,4,SA.A_TSB_D
0.24431187398561863,-3.3138873720116804,SA,4,SA.A_TSB_E
-0.4519649181782762,-2.5841095248561627,SA,5,SA.B_TSB_A
-0.3811011920396348,-2.5187900788547886,SA,5,SA.B_TSB_B
-0.7806663283422501,-3.092939512573844,SA,5,SA.B_TSB_C
0.5788284834442559,-4.522917142481802,SA,5,SA.B_TSB_D
1.3165326073482355,-5.083593237583983,SA,5,SA.B_TSB_E
-5.627993169522013,2.458383500655738,PA,2,PA.A_TSB_A
-5.277957536943458,2.949973662842862,PA,2,PA.A_TSB_B
-4.606328692372638,2.2209289867123023,PA,2,PA.A_TSB_C
-3.911583582559494,1.6736730761774918,PA,2,PA.A_TSB_D
-6.778707466472975,4.700747118670479,PA,3,PA.B_TSB_A
-7.281952289169911,4.87461013453123,PA,3,PA.B_TSB_B
-4.252560439355154,2.0977849874605914,PA,3,PA.B_TSB_C
3.9001123806660587,0.8116624875092596,EC,0,EC.A_TSB_A
4.400428856564247,1.0709172256390693,EC,0,EC.A_TSB_B
2.5206486444348526,0.15184133775540548,EC,0,EC.A_TSB_C
2.769019545425439,-0.766989602579129,EC,0,EC.A_TSB_D
4.014677414474714,0.968433723386741,EC,0,EC.A_TSB_E
0.8261354907795935,-0.42728672488437797,EC,1,EC.B_TSB_A
1.7401038272192733,0.005149038572141208,EC,1,EC.B_TSB_B
2.7481547694928357,0.47178807832930314,EC,1,EC.B_TSB_C
3.769291712569424,1.3116555210506915,EC,1,EC.B_TSB_D
11.181007909082778,9.849079578019705,EC,1,EC.B_TSB_E
