Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
SA,SA_A,SA.A_TSB_A,465374,1027715,,1289650,800581,324424,73015,,,0,,82772,1019655,0,,139019,0,0,111465,,,56603,,3097686,,,334841,,375792,,,,,4016234,,,,,51090,76990,,,,0,,,,4007188,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_TSB_B,193151,1050974,,504113,294680,189630,0,,,0,,0,245397,0,,219733,0,56594,0,,,0,,2130908,,,153294,,102975,,,,,1565576,,,,,0,0,,,,0,,,,1691000,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_TSB_C,403286,1850391,,1169501,15,228163,73558,,,0,,0,494407,0,,196279,0,124321,0,,,85741,,2769590,,,341899,,173956,,,,,1952847,,,,,0,0,,,,0,,,,2140149,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_TSB_D,129833,5140770,,1926072,124282,0,188367,,,0,,0,2198502,0,,375976,197683,53549,0,,,0,,5101478,,,86222,,381264,,,,,11875584,,,,,111819,0,,,,0,,,,4678421,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_TSB_E,117105,3422557,,246751,0,0,0,,,0,,0,960937,0,,93132,66816,0,0,,,0,,2349861,,,0,,233731,,,,,11024381,,,,,90520,0,,,,0,,,,3219328,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_TSB_A,316764,914667,,560337,456376,167165,90157,,,0,,83504,548057,0,,179831,0,0,0,,,0,,2161779,,,145857,,125300,,,,,2608354,,,,,55944,0,,,,0,,,,1719248,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_TSB_B,141636,801684,,497068,408709,152829,139948,,,0,,51098,287712,0,,84934,0,0,0,,,0,,2183192,,,151117,,64307,,,,,2383959,,,,,51321,0,,,,0,,,,1800911,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_TSB_C,292548,1037912,,1102211,710674,228457,53152,,,0,,238186,909496,0,,0,0,0,67248,,,65954,,3366604,,,227917,,182778,,,,,3143060,,,,,91806,0,,,,0,,,,2082410,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_TSB_D,0,7091491,,1336035,470055,0,210357,,,0,,0,2062898,0,,358759,155158,0,0,,,0,,5448175,,,97760,,619590,,,,,16982921,,,,,248716,0,,,,0,,,,5123035,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_TSB_E,588447,8155560,,1737916,201138,0,295857,,,0,,0,2011638,0,,427533,,54860,0,,,0,,6671788,,,122040,,800563,,,,,21176351,,,,,364754,0,,,,0,,,,5887513,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_BHI_A,0,3054748,,832334,0,0,0,,,0,,0,1584145,0,,376746,0,0,0,,,0,,3663531,,,225832,,4216736,,,,,3031784,,,,,0,0,,,,0,,,,2634320,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_BHI_B,0,909704,,444238,0,0,0,,,0,,87526,223992,0,,151707,0,0,0,,,0,,908313,,,159944,,2056879,,,,,1396969,,,,,0,0,,,,0,,,,1868166,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_BHI_C,0,2419195,,540199,0,0,0,,,0,,361484,1396163,0,,371331,0,0,0,,,0,,6978146,,,158786,,769616,,,,,1430945,,,,,0,0,,,,0,,,,2294617,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_BHI_D,0,3195134,,877468,0,0,0,,,0,,218833,1330370,0,,291548,0,0,0,,,0,,2969470,,,209463,,903640,,,,,3234400,,,,,0,0,,,,0,,,,3609299,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_BHI_E,0,1208273,,371852,0,0,0,,,0,,83403,878070,0,,79387,0,0,0,,,0,,1670810,,,80510,,1103952,,,,,1102412,,,,,0,0,,,,0,,,,1607769,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_BHI_A,0,3077081,,501780,0,0,0,,,0,,327621,1642725,0,,474857,0,0,156927,,,0,,7108828,,,151643,,1112605,,,,,1658255,,,,,0,0,,,,0,,,,2005000,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_BHI_B,0,1659016,,397547,0,0,0,,,0,,352289,1285637,0,,285977,0,0,136592,,,0,,5059320,,,144353,,663436,,,,,1221426,,,,,0,0,,,,0,,,,1935396,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_BHI_C,0,376521,,73257,0,0,0,,,0,,,183205,0,,0,0,0,0,,,0,,1473831,,,78843,,502028,,,,,872402,,,,,0,0,,,,0,,,,1464647,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_BHI_D,0,1910296,,523353,0,0,0,,,0,,278677,1134439,0,,285037,0,0,0,,,0,,5346823,,,130274,,568247,,,,,1587138,,,,,59939,0,,,,0,,,,1916645,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_BHI_E,0,1220898,,500776,0,0,0,,,0,,188055,1013838,0,,215072,0,0,101554,,,0,,5210015,,,124215,,351127,,,,,1107698,,,,,58151,0,,,,0,,,,1770194,,,,,0,,,,,,,,,,,,,,
SA,SA_A,SA.A_LB_A,0,0,,320965,0,68518,0,,,0,,0,0,0,,53102,0,0,0,,,0,,496920,,,0,,0,,,,,418770,,,,,0,0,,,,254746,,,,1351452,,,,,100676,,,,,,,,,,,,,,
SA,SA_A,SA.A_LB_B,0,0,,886309,0,0,0,,,0,,117584,0,0,,175955,0,0,0,,,0,,1668938,,,60640,,0,,,,,371188,,,,,0,0,,,,163749,,,,1194878,,,,,73312,,,,,,,,,,,,,,
SA,SA_A,SA.A_LB_C,0,0,,515572,210972,657995,0,,,93385,,142709,0,0,,289375,0,0,0,,,0,,2165426,,,76661,,0,,,,,592075,,,,,0,88915,,,,151718,,,,2197007,,,,,90392,,,,,,,,,,,,,,
SA,SA_A,SA.A_LB_D,0,0,,868238,209747,801038,0,,,0,,74742,0,0,,126650,0,0,0,,,0,,1474080,,,76192,,0,,,,,474163,,,,,0,91503,,,,145130,,,,1680536,,,,,77499,,,,,,,,,,,,,,
SA,SA_A,SA.A_LB_E,0,0,,0,0,0,0,,,79278,,153016,0,0,,85438,0,0,0,,,0,,1217896,,,0,,0,,,,,1692269,,,,,0,97916,,,,0,,,,2095493,,,,,0,,,,,,,,,,,,,,
SA,SA_B,SA.B_LB_A,0,0,,840146,156567,1309090,103953,,,0,,202591,0,0,,263104,0,0,0,,,0,,6782307,,,115518,,0,,,,,496592,,,,,0,0,,,,191311,,,,2072718,,,,,84674,,,,,,,,,,,,,,
SA,SA_B,SA.B_LB_B,0,0,,1392228,245113,1062848,50444,,,0,,137363,0,56785,,154327,0,0,0,,,0,,6262223,,,90093,,0,,,,,368583,,,,,0,0,,,,140391,,,,1410480,,,,,71006,,,,,,,,,,,,,,
SA,SA_B,SA.B_LB_C,0,0,,785128,66082,1309090,105840,,,0,,210770,0,0,,309708,0,0,0,,,0,,7761468,,,105557,,0,,,,,458677,,,,,0,0,,,,150201,,,,2007991,,,,,73337,,,,,,,,,,,,,,
SA,SA_B,SA.B_LB_D,0,0,,1526229,548037,610468,71194,,,0,,130858,0,75813,,207946,0,0,0,,,0,,7084113,,,127324,,0,,,,,433399,,,,,0,0,,,,115261,,,,1746404,,,,,71048,,,,,,,,,,,,,,
SA,SA_B,SA.B_LB_E,0,0,,0,0,0,0,,,0,,135461,0,0,,530923,0,0,0,,,0,,13087905,,,0,,0,,,,,2426632,,,,,96723,245699,,,,0,,,,2891556,,,,,0,,,,,,,,,,,,,,
PA,PA_A,PA.A_BHI_A,72782,119451,,217717,0,0,80981,0,0,0,,83263,,,,218656,0,360410,,1836055,0,0,0,8963819,414750,0,0,0,0,,139532,0,99765,,226327,616220,596960,0,,,,0,0,,,,0,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_BHI_B,158092,0,,449020,0,0,295319,0,0,260184,,113029,,,,63315,79679,0,,4758693,1342754,0,78229,5020894,259349,0,75599,0,0,,99188,0,136543,,243982,720171,534705,0,,,,105669,0,,,,119961,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_BHI_C,154266,2755630,,2741250,0,0,111457,0,0,138973,,221152,,,,0,80637,250118,,3243667,1956541,328075,128560,11793571,519476,60571,220444,0,0,,50123,0,1245017,,236940,767151,699348,0,,,,423357,0,,,,220303,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_BHI_D,165447,2864780,,229514,0,0,0,0,0,206705,,114655,,,,164087,108080,213643,,2178787,2501751,0,0,13739133,270080,0,160189,0,0,,151978,0,976709,,919278,766601,513983,0,,,,653601,0,,,,822512,,,,,,,,62602,,,,,,,,,,,,
PA,PA_A,PA.A_BHI_E,257291,2979582,,0,0,0,0,0,0,216432,,94646,,,,218357,0,493008,,3249923,1751337,146266,153234,12346889,237442,90067,92165,0,155690,,65690,0,2229916,,2173133,862790,709941,0,,,,517587,0,,,,494295,,,,,,,,72073,,,,,,,,,,,,
PA,PA_B,PA.B_BHI_A,0,123501,,405146,552437,0,0,0,0,0,,0,,,,246595,0,528402,,1400568,0,0,0,10672383,322861,0,0,0,0,,230084,0,280508,,417596,315631,436851,0,,,,332309,0,,,,458202,,,,,,,,146708,,,,,,,,,,,,
PA,PA_B,PA.B_BHI_B,245490,5398605,,738399,0,0,171282,0,0,331291,,0,,,,213899,0,0,,7765793,3059172,0,0,9037455,201412,0,421872,0,204783,,0,0,2654044,,2526340,443382,520750,0,,,,834807,0,,,,1265320,,,,,,,,133733,,,,,,,,,,,,
PA,PA_B,PA.B_BHI_C,464030,1418380,,2816991,919172,0,0,0,0,186812,,195548,,,,253310,0,603395,,4007625,1383807,173245,0,10928654,445853,0,704490,0,0,,299340,0,1902515,,177301,326505,446231,0,,,,1504377,0,,,,0,,,,,,,,187550,,,,,,,,,,,,
PA,PA_B,PA.B_BHI_D,0,1132339,,601736,0,0,0,0,0,186812,,0,,,,0,0,0,,9898560,2140101,0,0,9724620,358783,0,280708,0,0,,0,0,2056831,,1341480,431146,371797,0,,,,1414962,0,,,,1475968,,,,,,,,263572,,,,,,,,,,,,
PA,PA_B,PA.B_BHI_E,216975,1972423,,601858,0,0,153432,0,0,297159,,154471,,,,0,0,0,,9991209,1924978,0,0,11098959,283587,0,357840,0,0,,0,0,653072,,2038751,469015,476178,0,,,,1644906,0,,,,2030548,,,,,,,,174715,,,,,,,,,,,,
PA,PA_A,PA.A_LB_A,0,0,,4593791,2992449,0,759098,485375,0,216150,,348919,,,,380392,302615,1287201,,8342977,2234272,224725,0,4257835,0,277538,586549,0,0,,0,0,499357,,0,389023,0,0,,,,997986,0,,,,336517,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_LB_B,0,2100747,,1556357,0,0,0,376964,0,0,,227796,,,,282434,0,0,,2459069,1433351,290026,265644,13725691,673230,159405,0,0,0,,158021,0,560505,,0,546083,391414,0,,,,849044,0,,,,161420,,,,,,,,121447,,,,,,,,,,,,
PA,PA_A,PA.A_LB_C,0,0,,818478,952843,0,0,652996,0,440817,,172824,,,,0,0,295691,,6362319,3105858,0,0,2006588,411246,0,0,0,0,,0,0,159552,,0,213409,0,0,,,,290081,0,,,,0,,,,,,,,109399,,,,,,,,,,,,
PA,PA_A,PA.A_LB_D,0,0,,925725,872643,0,0,841665,0,634921,,285764,,,,0,93933,385151,,4710524,1478897,0,160587,896822,443795,109969,0,0,0,,0,0,0,,0,161968,0,0,,,,95115,0,,,,0,,,,,,,,67823,,,,,,,,,,,,
PA,PA_A,PA.A_LB_E,0,0,,635916,564067,0,0,0,0,0,,85577,,,,60927,0,170196,,1546224,0,0,0,1243337,89553,0,0,0,0,,0,0,301572,,56849,103804,0,0,,,,352609,0,,,,151796,,,,,,,,99558,,,,,,,,,,,,
PA,PA_B,PA.B_LB_A,0,0,,1443975,0,0,0,719792,214722,290888,,308465,,,,0,0,309470,,11316169,0,144220,0,1592331,186653,0,0,301551,0,,0,0,1275136,,373646,142532,0,0,,,,1257669,0,,,,482499,,,,,,,,553094,,,,,,,,,,,,
PA,PA_B,PA.B_LB_B,0,0,,430258,1105838,0,0,1341476,0,553733,,173497,,,,0,0,451246,,6330153,0,0,0,6970540,178945,0,0,171424,0,,0,0,198681,,306951,408522,0,0,,,,287829,0,,,,0,,,,,,,,439975,,,,,,,,,,,,
PA,PA_B,PA.B_LB_C,0,71200,,612393,920844,0,0,1437190,149294,608115,,267753,,,,114084,0,282138,,10477684,0,88040,0,2274161,197864,130510,100140,254571,0,,0,0,265616,,198782,153817,0,0,,,,178546,0,,,,59911,,,,,,,,516248,,,,,,,,,,,,
PA,PA_B,PA.B_LB_D,0,0,,521478,726757,0,0,1098813,0,539042,,185840,,,,125236,50818,229256,,8408280,0,0,0,2006092,106432,85656,82100,277327,0,,0,0,381346,,53306,83078,0,0,,,,195093,0,,,,0,,,,,,,,362422,,,,,,,,,,,,
PA,PA_B,PA.B_LB_E,0,0,,1257192,0,0,0,691874,196600,264088,,325764,,,,106088,77304,313564,,6122284,0,199717,0,2050926,153090,183690,132599,347183,0,,0,0,1766587,,422604,143921,0,0,,,,1411966,0,,,,384342,,,,,,,,569141,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_A,102838,407274,,312919,416155,878501,0,0,0,0,,180978,,,,613288,0,1220117,,1089098,297541,0,0,37125000,1013976,66660,94665,0,0,,590669,254736,77440,,315708,296002,437807,50895,,,,0,85303,,,,220455,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_B,366196,105844,,922111,405410,1044023,0,0,0,0,,350140,,,,533119,138682,1405586,,1586875,1330842,131327,0,25630541,922092,84463,138407,0,0,,174814,237817,174811,,364610,348566,501438,57295,,,,95420,129277,,,,327898,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_C,168119,201974,,790827,185434,920649,0,0,0,0,,120517,,,,358184,96881,1206319,,0,292562,0,0,28478038,647846,53945,123534,0,0,,153504,222587,360272,,437056,361440,600925,65646,,,,266974,128608,,,,430422,,,,,,,,284883,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_D,0,100302,,484660,454496,524710,0,0,0,0,,96861,,,,528587,61466,768442,,2178707,546953,0,0,18337136,409427,0,81767,0,0,,323499,167137,463341,,428548,267344,438524,0,,,,586721,133784,,,,617888,,,,,,,,551104,,,,,,,,,,,,
PA,PA_B,PA.B_TSB_A,224198,213164,,809906,706936,932763,0,0,0,0,,203944,,,,436552,0,1209988,,12921628,0,83664,0,18573029,91195,131925,141355,115156,0,,173217,119002,525712,,1285724,142353,424489,79448,,,,4396492,111623,,,,2800635,,,,,,,,1528228,,,,,,,,,,,,
PA,PA_B,PA.B_TSB_B,191043,113006,,531903,512688,1026786,0,0,0,0,,236598,,,,492060,64027,2282603,,7584736,0,182915,0,24462435,114948,88116,71410,99820,0,,172688,125798,524913,,1297487,383895,621874,55187,,,,1447782,81423,,,,3287479,,,,,,,,1937240,,,,,,,,,,,,
PA,PA_B,PA.B_TSB_C,0,100112,,219493,0,0,0,109543,173727,0,,164078,,,,0,76978,585679,,12179961,629727,0,0,10710622,87884,116106,83352,0,0,,0,98575,727805,,1136661,154214,278470,54359,,,,1031358,0,,,,260136,,,,,,,,1087800,,,,,,,,,,,,
EC,EC_A,EC.A_BHI_A,1335746,10739591,127719,3891622,664734,,353713,,138071,,0,154284,,149124,105966,636845,173087,,,,5985957,408380,0,12137381,,204993,715127,,203554,186787,,,308038,5449509,,,,145400,108830,,1303753,428336,584398,,0,51900,0,,0,1120106,96559,0,,219638,,0,0,1087630,0,0,0,0,0,1119579,0,1061325,10282706
EC,EC_A,EC.A_BHI_B,1077717,7443452,99116,2439108,522829,,152483,,0,,0,112048,,113513,86354,392103,110047,,,,3989960,252076,0,7723728,,92508,415206,,168148,85904,,,383685,2069148,,,,99866,0,,1124989,623212,324415,,173839,101263,0,,0,2260282,303186,68203,,202598,,0,0,2533698,0,68658,0,400513,0,979951,0,650859,106378505
EC,EC_A,EC.A_BHI_C,893609,6250253,83418,2314358,524002,,135522,,82601,,0,88526,,95518,67095,275232,76816,,,,3174018,250529,0,6210576,,108991,407557,,118337,106202,,,394008,3316273,,,,95894,0,,1238561,712079,328561,,161042,178266,0,,0,2407249,446725,123501,,211215,,70060,113303,3621289,144229,134147,88404,652645,0,1718402,0,1970524,112700686
EC,EC_A,EC.A_BHI_D,809390,7626831,175461,2591269,604543,,115800,,69547,,0,85508,,103160,0,189839,73358,,,,3017282,348774,0,5653746,,69789,487632,,0,121811,,,420686,4930272,,,,112262,122108,,1910713,529364,470932,,128731,125201,0,,0,4553996,357832,118849,,386583,,91450,111256,5051317,137887,179352,119785,408288,0,2450605,0,4268126,93089962
EC,EC_B,EC.B_BHI_A,608402,3717130,0,2973792,0,,0,,0,,0,128022,,140813,0,139641,60794,,,,3879386,646981,0,8341626,,0,476972,,0,63082,,,2271616,5518148,,,,77569,0,,799527,841414,556478,,0,0,0,,0,2479369,80690,0,,218444,,90264,0,802253,0,0,0,0,0,166612,0,64116,95504755
EC,EC_B,EC.B_BHI_B,947309,5157444,0,2507968,0,,204422,,89753,,0,90122,,116323,105656,0,138306,,,,3355434,351600,0,8328364,,79016,481816,,0,0,,,1155205,7058046,,,,63099,177595,,1545013,590411,296451,,0,164633,0,,0,5542281,348812,0,,229405,,120597,0,3764377,308213,82496,0,57578,0,329919,0,119065,111534573
EC,EC_B,EC.B_BHI_C,961495,6648458,0,2460826,552271,,140271,,63628,,0,131277,,123060,68534,262306,53366,,,,3614046,411137,0,8357066,,92671,446101,,0,0,,,1082152,6356903,,,,121836,144705,,1900921,673916,319697,,344949,261433,0,,0,7740141,617095,171353,,257087,,231601,0,8126177,535396,254789,66340,112673,0,752512,0,301336,43562718
EC,EC_A,EC.A_LB_A,155389,1010300,0,3917970,735781,,528832,,381024,,1550481,82608,,183084,53025,501035,76840,,,,3569454,388765,0,4505387,,228006,180008,,0,163793,,,106588,800115,,,,274686,172459,,181784,257232,254013,,0,0,0,,70872,98723,302852,0,,122437,,62303,0,723882,0,59160,0,0,133915,152145,247622,79080,64083889
EC,EC_A,EC.A_LB_B,55674,833894,0,1895126,368391,,160664,,158705,,1682575,62721,,77576,0,259701,0,,,,2868248,111779,0,2548897,,0,63669,,0,66071,,,81508,293287,,,,132490,59778,,299078,235580,235434,,0,0,0,,93940,489438,411519,0,,99484,,0,0,1293239,0,82803,0,0,201090,286061,303949,112422,76383368
EC,EC_A,EC.A_LB_C,206308,1059453,0,199890,457109,,365507,,180890,,1821750,91226,,146555,0,555535,96188,,,,3954594,169612,0,3497616,,176833,113874,,0,118007,,,85149,265880,,,,206282,0,,314410,287789,323796,,0,0,0,,103754,410418,519574,0,,136105,,96083,0,1683334,0,138988,0,91864,314284,399067,470038,136299,84586604
EC,EC_A,EC.A_LB_D,0,1038526,0,0,199127,,0,,0,,1417005,0,,0,0,56244,0,,,,1674709,64568,118318,2622897,,0,0,,0,0,,,115864,1458984,,,,0,159338,,158548,343124,0,,0,0,0,,91673,148544,331798,0,,0,,0,0,672139,0,91058,0,285335,141209,448711,1389615,1477460,77981995
EC,EC_A,EC.A_LB_E,0,746145,0,0,0,,0,,0,,843090,0,,0,0,53025,0,,,,1112004,71493,0,2269429,,0,0,,0,0,,,78116,995169,,,,0,194881,,106502,322616,0,,0,0,0,,89486,99315,559861,0,,0,,0,0,1719069,0,163012,0,184046,206594,1084828,1869692,1251665,85548553
EC,EC_B,EC.B_LB_A,138406,0,0,2601103,413560,,369097,,261039,,0,0,,137297,0,435021,60756,,,,1599561,291645,0,3384709,,174979,85978,,0,83980,,,330785,546566,,,,187563,108434,,90957,284966,255229,,0,0,0,,87201,136896,320352,0,,103548,,110355,0,639394,73677,60053,0,0,208765,172360,0,0,72853935
EC,EC_B,EC.B_LB_B,157208,0,0,2591407,258187,,333096,,148155,,0,68374,,160630,52938,444798,78297,,,,1513337,244580,0,3232684,,171949,0,,0,79508,,,436384,357739,,,,182250,119064,,112115,447419,305231,,0,0,0,,159402,303533,835199,0,,172988,,194966,0,1323482,299615,213434,0,0,448151,470892,138587,70851,87016160
EC,EC_B,EC.B_LB_C,108232,0,0,2278562,414624,,324672,,177119,,133992,58623,,116084,0,425365,88191,,,,2244762,196334,0,3357368,,170322,0,,0,75315,,,316796,177944,,,,145681,,,189796,281528,241323,,0,0,0,,76070,729337,395577,0,,115781,,0,0,1198793,146231,94999,0,0,365451,312473,0,0,77512251
EC,EC_B,EC.B_LB_D,0,0,0,0,0,,0,,0,,0,0,,0,0,0,0,,,,0,94963,0,1312941,,0,0,,0,0,,,376463,991493,,,,0,230966,,0,326330,0,,0,0,0,,62131,60950,327139,0,,0,,103267,0,581729,52637,117138,0,72630,183803,216519,79475,51688,82768482
EC,EC_B,EC.B_LB_E,0,0,0,0,0,,0,,0,,0,0,,0,0,0,0,,,,516079,151307,0,1084828,,0,0,,0,0,,,292752,1043984,,,,0,362007,,0,331717,0,,0,0,0,,0,0,171292,0,,0,,0,0,242246,246354,135850,0,67958,107442,156417,,1940003,61263721
EC,EC_A,EC.A_TSB_A,887825,7585417,0,673781,0,,58040,,0,,0,77057,,79276,0,150443,0,,,,285915,205972,0,4976821,,0,115357,,78080,51263,,,352856,2351610,,,,127027,0,,1131862,432151,179033,,0,0,201877,,0,0,125461,0,,185259,,0,0,1734037,0,0,0,89948,0,851004,0,850885,88277609
EC,EC_A,EC.A_TSB_B,670603,7461659,0,592162,0,,62292,,0,,0,52672,,68747,0,0,125917,,,,274388,185920,0,5003470,,0,78741,,80161,56793,,,248134,2007913,,,,113605,0,,1139646,292152,224753,,0,0,144622,,0,1341923,125475,0,,220256,,0,0,2010208,0,0,0,64680,0,922978,0,1183943,91230943
EC,EC_A,EC.A_TSB_C,576884,2372532,0,468142,0,,0,,0,,152410,66285,,0,0,50584,0,,,,451935,111956,0,2399050,,0,55845,,0,0,,,156017,641681,,,,67623,0,,547685,239981,131516,,0,0,74667,,0,752118,222277,0,,134335,,0,0,2075742,0,0,0,54145,0,593032,0,382201,109912287
EC,EC_A,EC.A_TSB_D,636851,5114072,0,559183,0,,0,,0,,171493,0,,0,0,90291,0,,,,632825,132704,0,3934663,,0,74957,,525825,0,,,158088,2911844,,,,0,0,,851829,216947,158388,,0,0,82691,,0,1124759,89118,0,,176598,,0,0,1582441,0,0,0,0,0,450711,0,390122,89285823
